Drivers	Targets	NR	R	XOR
1	ASCL1	CHGA	1	0	1
2	ASCL1	EYA3	1	0	1
3	ASCL1	HNRNPA1	1	0	1
4	ASCL1	REEP2	1	0	1
5	ASCL1	SEZ6	1	0	1
6	ELK3	BTBD9	1	0	1
7	ELK3	CACNA2D2	1	0	1
8	ELK3	KHDRBS1	1	0	1
9	ELK3	PPME1	1	0	1
10	ELK3	PTPN11	1	0	1
11	EP300	APLP1	1	0	1
12	EP300	CRKL	1	0	1
13	EP300	DCAF7	1	0	1
14	EP300	SF3A1	1	0	1
15	INSM1	APLP1	1	0	1
16	INSM1	CACNA1B	1	0	1
17	INSM1	FNBP1L	1	0	1
18	INSM1	HNRNPA1	1	0	1
19	INSM1	KLHL11	1	0	1
20	INSM1	MYT1	1	0	1
21	INSM1	TMEM97	1	0	1
22	INSM1	TSPYL4	1	0	1
23	NF1	ANP32A	1	0	1
24	NF1	CBX1	1	0	1
25	NF1	CBX5	1	0	1
26	NF1	CCNK	1	0	1
27	NF1	DCAF16	1	0	1
28	NF1	HNRNPA1	1	0	1
29	NF1	KPNB1	1	0	1
30	NF1	MED1	1	0	1
31	NF1	NEK4	1	0	1
32	NF1	SOCS7	1	0	1
33	NF1	TAF15	1	0	1
34	NF1	TBC1D5	1	1	0
35	NF1	TMED8	1	0	1
36	NFIC	REEP2	1	0	1
37	NR1H3	FNBP1L	1	0	1
38	NR1H3	KPNA6	1	0	1
39	NR1H3	NAF1	1	0	1
40	SMARCC1	KHDRBS1	1	0	1
41	SMARCC1	LDOC1L	1	0	1
42	SMARCC1	RBM15B	1	0	1
43	SMARCC1	SPTLC2	1	0	1
44	SMARCC1	TMEM63C	1	0	1
45	SMARCC1	UBXN2B	1	0	1
46	SNAPC4	KITLG	1	0	1
47	SNAPC4	QSOX2	1	0	1
48	SNAPC4	SF3A1	1	0	1
49	SSRP1	BAZ1B	1	0	1
50	SSRP1	CBX1	1	1	0
51	SSRP1	CHGA	1	0	1
52	SSRP1	CKAP5	1	0	1
53	SSRP1	HDGF	1	0	1
54	SSRP1	HNRNPM	1	0	1
55	SSRP1	HNRNPUL2	1	0	1
56	SSRP1	KDM1A	1	0	1
57	SSRP1	KHSRP	1	0	1
58	SSRP1	MNS1	1	1	0
59	SSRP1	NCL	1	0	1
60	SSRP1	PATL1	1	0	1
61	SSRP1	PRPH	1	0	1
62	SSRP1	RNF168	1	0	1
63	SSRP1	TMEM97	1	0	1
64	VEZF1	AVL9	1	0	1
65	VEZF1	BECN1	1	0	1
66	VEZF1	BTBD9	1	0	1
67	VEZF1	GSK3B	1	0	1
68	VEZF1	KRBA2	1	0	1
69	VEZF1	MED1	1	0	1
70	VEZF1	NBR1	1	0	1
71	VEZF1	PAFAH1B1	1	0	1
72	VEZF1	PUM1	1	0	1
73	ZBTB12	AVL9	1	0	1
74	ZBTB12	SOCS7	1	0	1
75	ZBTB12	TRAF3IP1	1	0	1
76	ZBTB12	XPO5	1	0	1
77	ZBTB12	ZNF704	1	0	1
78	ZNF146	CHGA	1	0	1
79	ZNF146	HNRNPA1	1	0	1
80	ZNF146	LSM14A	1	0	1
81	ZNF146	PRPH	1	0	1
82	ZNF146	RPL3	1	0	1
83	ZNF146	TMEM63C	1	0	1
84	ZNF664	ATXN7L3B	1	0	1
85	ZNF664	HNRNPM	1	0	1
86	ZNF664	NOLC1	1	0	1
87	ZNF664	SUDS3	1	0	1
88	ZNF770	CCT8	1	0	1
89	ZNF770	DDX3X	1	0	1
90	ZNF770	DKC1	1	0	1
91	ZNF770	HNRNPF	1	0	1
92	ZNF770	KLHL11	1	0	1
93	ZNF770	MFAP1	1	0	1
94	ZNF770	PTPN11	1	0	1
95	ZNF770	USP37	1	0	1
96	EP300	DDX3X	0	1	1
97	EP300	INO80D	0	1	1
98	EP300	KPNB1	0	1	1
99	EP300	MED1	0	1	1
100	EP300	PRR14L	0	1	1
101	EP300	RANGAP1	0	1	1
102	EP300	RCOR1	0	1	1
103	EP300	SH3BP5L	0	1	1
104	INSM1	BAZ1B	0	1	1
105	INSM1	MARCH11	0	1	1
106	NF1	BAZ1B	0	1	1
107	NF1	CDON	0	1	1
108	NF1	KITLG	0	1	1
109	NF1	PUM1	0	1	1
110	NF1	SH3BP5L	0	1	1
111	NF1	ZNF704	0	1	1
112	NFIC	CBX1	0	1	1
113	NFIC	MED1	0	1	1
114	NFIC	RBM15B	0	1	1
115	NFIC	RCOR1	0	1	1
116	NR1H3	HNRNPA1	0	1	1
117	SMARCC1	ACVR1B	0	1	1
118	SMARCC1	CBX5	0	1	1
119	SMARCC1	KPNB1	0	1	1
120	SNAPC4	CBX1	0	1	1
121	SSRP1	CCT8	0	1	1
122	SSRP1	HNRNPA1	0	1	1
123	SSRP1	KHDRBS1	0	1	1
124	VEZF1	CBX1	0	1	1
125	VEZF1	CBX5	0	1	1
126	VEZF1	CSDE1	0	1	1
127	VEZF1	DCAF7	0	1	1
128	VEZF1	HNRNPA1	0	1	1
129	VEZF1	KLHL11	0	1	1
130	VEZF1	NAF1	0	1	1
131	VEZF1	RANGAP1	0	1	1
132	ZBTB12	DDX24	0	1	1
133	ZNF146	KHSRP	0	1	1
134	ZNF146	RNF168	0	1	1
135	ZNF664	DCAF7	0	1	1
136	ZNF664	NAF1	0	1	1
137	ZNF770	KPNB1	0	1	1
138	ZNF770	MED1	0	1	1
139	ZNF770	UBXN2B	0	1	1
