"1B - FS"	"1B - OR"	"AllB - FS"	"AllB - OR"	"5B - FS"	"5B - OR"
"SMARCC1"	0.00556015889231884	14.3456632848633	7.97211788072457e-17	8.23079360050689	1.63929319268386e-11	8.92569559466111
"ELK3"	0.464950775739484	5.35132342822651	8.73941685335348e-08	2.85025285174214	4.04794721220177e-05	3.1148245148126
"VEZF1"	0.752239531514607	6.74597997732115	3.36705257274366e-07	3.51855801415919	6.04354177687082e-05	4.64438775740844
"RFX1"	0.999999445186742	7.30600820530232	7.66341399925851e-06	6.98598323484952	0.00195145929433133	14.1438897292091
"SPI1"	0.917594200066601	2.64247604145093	0.000315056413296372	1.84042542839628	0.0103811166154169	2.04727715748375
"ZBTB12"	1	5.34891891733997	0.021859112172997	3.81637426900585	0.714762600693592	5.977642515132
"BCL6B"	0.999999999979606	4.46902829632241	0.0308251930031097	2.11004784688995	0.474758159249044	2.69005655799241
