TP_2078_Tumor	SC_9137_Tumor	TP_2081_T	MO_1510_T	SC_9183_T	MO_1084.Tumor	SC_9043.Tumor	MO_1179.Tumor	MO_1184.Tumor	MO_1176.Tumor	MO_1192.Tumor	SC_9050.Tumor	SC_9057.Tumor	MO_1241.Tumor	SC_9080.TM	MO_1336.TM	TP_2060.TM	MO_1410.Tumor	PRAD.01115550.Tumor.SM.A4KNI	PRAD.06115124.Tumor.SM.7LGU1	PROS01448.6115247.Tumor.SM.67ES2	PM14.TM
FOS	1.24934707281115	2.43468877992653	6.48259340577798	1.30911428749158	1.91528722880936	1.84128257270745	3.66237627582011	4.22419979871084	2.88274823655587	1.51063753549686	3.09282924713079	6.71243492272446	4.60920522777198	2.54976644553643	2.11816384984117	2.02621060164935	3.97219749949219	4.37114897159682	6.43904299091111	6.15335827617633	2.01376109151652	10.7217690573109
ERG	1.71517520363338	5.38148896523437	2.07080889672932	5.11009313418846	5.71395148611921	7.2813707689456	6.41628345792565	5.62947010978419	3.34117216512381	6.17409464359127	7.10247946236389	2.65110195272768	1.29958051586627	6.7739140041581	1.97814059853215	1.37293692938379	2.5185155922067	2.65624381117797	3.67445607202775	4.68440261838321	7.0806246399312	0.994780810739942
HSF4	1.39784532462757	4.56781382758745	5.98268044023384	6.25015978021725	4.44009126233247	9.37595554357257	5.21733059682159	4.56204197410611	3.0946183994296	6.23138590045189	4.78875579160714	7.7968507484895	5.58431963288417	4.42188401744859	3.66609231514168	4.53800246836728	3.97785410599112	3.26120806835961	1.4282985754021	1.37293692938379	4.61498441957698	5.8280391036247
FOSB	0.444721719627858	0.462200474860614	3.75549247118375	0.395636396248791	0.30825841348882	0.642164778179457	0.864592823570329	0.262526073262362	0.925999418556223	0.36629992924034	0.788766562805746	4.81004473208969	2.09443449198092	0.339146511691613	0.863076447012226	0.382192321382418	0.55000529427523	0.862066395644921	1.72025981701528	3.12507374078359	0.308804979787209	8.05090446115582
SP7	0.0069385539959148	4.10831713901932	3.23224223655613	0.0816390091240621	0.0185901532441134	0.00988497900428661	1.65469117382011	5.12957546503965	0.00220786863391063	0.00967281949997528	0.00967281949997528	0.068676260965227	0.0305669432926841	0.046647452704106	0.0470337068106633	3.79192609335941	0.00631380986544193	0.0031228168349174	5.42944844331412	0.24632421712967	0.0306858476618249	0.0986284572994031
NKX3-1	8.37591385469137	8.61731013986624	7.17600696925303	8.73006102914013	8.40084670656913	8.01303513083572	8.28018276132601	7.71419647704622	8.15655758061155	8.26821764663354	9.0983707803609	10.1761227106614	8.64724209465814	8.83185229101179	9.18523214592787	7.89745590586082	6.42914707582296	0.306894405254424	8.14658923072506	7.10744677305683	8.31508264961901	8.23531508650974
HOXD1	2.08339622557534	1.00467925296158	0.760803784070056	2.16113419231415	1.38798606994482	0.136582684443427	0.887525569320854	0.701755321893051	0.246806996020656	0.376339342318043	2.03947166881396	5.92059665193121	0.224429393169193	0.199033642935948	6.21755440825839	0.398485219860721	0.43063087352346	0.152178999894049	1.18137948592815	0.563200011673084	4.18900340958358	0.0500183344571108
IRX4	1.35667347972054	1.3302154102926	2.22781209599124	2.6476757482077	3.24852802395145	5.70215808563514	4.41613644656161	2.67684169370775	0.0136406096732799	5.691348957782	4.27945966725582	3.25758401539313	4.30617396408448	3.57341507078404	3.87249114703791	2.43135541783175	0.254109831020673	0.0989475864033613	1.9704310657363	0.534346321569168	4.41230529216268	1.22400600401279
MESP1	2.98862881497417	2.16752797444255	6.03395335429228	3.7424296501	3.47570683398968	3.38497343622817	4.73364761700812	2.22296683830343	3.6447351191194	4.5860973570727	2.7337331081957	1.3263659066014	0.521568819303977	3.40692143942503	3.99200149108626	6.11584506381803	3.57526396220192	0.45598510410026	1.2350974769791	0.595000640672899	0.372670152545918	1.46379054274146
AR	7.13924020587224	7.33506410059497	5.73656019390856	8.02300041085111	4.52358649234638	6.15730776787452	7.23067106895934	5.05752625364755	5.43630260135812	4.69984556781742	8.99953903074146	7.6912958383547	7.5559167188879	9.35098970231148	7.65545456146832	7.0140805632594	3.7853819648864	2.95940885949766	7.29230737042657	5.5029213448487	6.74317168873991	7.8297187001786
HOXA9	4.06002344856332	5.16466110070868	4.57743560611686	0.806124315753189	5.10424980289849	3.45366335531828	4.87978969014773	3.26573946085867	0.45598510410026	3.82561401686748	5.30130947664836	0.901971816391206	2.12212874320866	4.8749427915585	1.57211462491438	4.64582160309132	3.99011469054232	4.3166753459159	2.77359431454973	3.07673868396427	0.107870628652395	3.46008961223935
CUX2	1.64399479317942	3.61969489726352	2.69834915678084	2.38402389314262	4.66317836209159	0.834561600920355	4.17379707565579	1.96350296966051	4.37975872163495	5.20269532183166	5.70510627731967	2.29278174922785	2.77880604538323	2.22619657924829	2.40225457685491	2.03244682246685	0.971359790578291	0.0233351433210999	3.63823994777272	0.359396910321974	4.72012343177727	1.2099109900759
FEV	1.48271414552539	1.55472753686433	0.0379544244350757	3.01792465772652	2.17873417939837	3.71167255931639	2.35347139804087	0.403899531636198	2.6862985613358	2.89241044566497	3.92228995852243	0.3525706657699	1.12483091351704	2.55399904963815	0.5093463517474	0.199465836762575	0.0361123087965426	0.0159333024599523	0.00830017498488774	1.99901723020344	5.57843241298349	0.00683426826931263
