Normalized XOR Sum	Cliques
ADNP	1	
BATF2	1	
BCL6B	0.9	
BRCA1	1	
CASZ1	1	
ELK3	1	
EP300	1	
GATA2	1	
GLI1	1	
GTF2F1	1	
IRF8	0.949	
MAFG	1	
MNT	1	
NF1	0.929	
NFIC	1	
NKX2-1	1	
NR1H3	1	
ONECUT1	1	
POU3F3	1	
RFX1	1	
SMARCC1	1	
SNAPC4	1	
SPI1	0.772	
SSRP1	1	
T	1	
TBX1	1	
THRA	1	
VEZF1	0.944	
ZBED2	1	
ZBED4	1	
ZBTB12	1	
ZC3H4	1	
ZEB2	0.829	
ZFP3	1	
ZNF146	1	
ZNF613	1	
ZNF629	1	
ZNF653	1	
ZNF664	1	
ZNF764	1	
ZNF770	1	
