key	reg	target	all.pearson	all.pearson.pvalue	nonresp.pearson	nonresp.pearson.pvalue	respond.pearson	respond.pearson.pvalue	all.spearman	all.spearman.pvalue	nonresp.spearman	nonresp.spearman.pvalue	respond.spearman	respond.spearman.pvalue	support	chip.evidence	num.chip.peaks	all.weights	nonresp.weights	respond.weights
BTBD9||ZBTB12	ZBTB12	BTBD9	0.686604406789968	5.25949529916028e-06	0.780557191615838	4.8946835206663e-05	0.516736559136966	0.0485744280630691	0.64430282390652	2.95636445594942e-05	0.747368421052632	0.000231130847673579	0.364285714285714	0.18239313285607	0	0	0	0	0	0
CDON||ZBTB12	ZBTB12	CDON	0.403995180315823	0.0160900375126354	0.394681434076077	0.0850449563545782	0.417504653083202	0.121519098892854	0.373695637865782	0.0270129894317769	0.348872180451128	0.132006680191754	0.207328054191153	0.458432268952569	0	0	0	0	0	0
COPG2||ZBTB12	ZBTB12	COPG2	0.621230395058387	6.8201238627181e-05	0.704857844714496	0.000519679646808701	0.4384746593515	0.102066173280547	0.623809523809524	8.87355415164478e-05	0.654135338345865	0.00226023378431876	0.35	0.201154828000983	0	0	0	0	0	0
EIF3CL||ZBTB12	ZBTB12	EIF3CL	0.524611675087342	0.00121541590710412	0.536555086352428	0.0147265467795572	0.536526417755822	0.0392115346669792	0.6	0.000186654414278826	0.464661654135338	0.0405399933070938	0.842857142857143	8.10975627401273e-05	0	0	0	0	0	0
EPHA7||ZBTB12	ZBTB12	EPHA7	0.373968387087937	0.0268926658469744	0.404784856043478	0.0766659720207923	0.336332203006324	0.220309309524074	0.405322128851541	0.0163548464304737	0.464661654135338	0.0405399933070938	0.371428571428571	0.173470860222355	0	0	0	0	0	0
EPN2||ZBTB12	ZBTB12	EPN2	0.492188854293609	0.00267067784233594	0.602577699496199	0.0049253372996534	0.322228069842923	0.241482482872962	0.495798319327731	0.00276025634278174	0.586466165413534	0.00759661022955128	0.321428571428571	0.242415461665461	0	0	0	0	0	0
KIAA1324L||ZBTB12	ZBTB12	KIAA1324L	0.450006433932505	0.00667975681598029	0.633896610519211	0.00268893875785851	0.0802382668210111	0.776211447083925	0.529971988795518	0.00124590408872465	0.682706766917293	0.00123879482462336	0.132142857142857	0.638932943879	0	0	0	0	0	0
MYEF2||ZBTB12	ZBTB12	MYEF2	0.582535159837353	0.000241009608673657	0.66769740196023	0.00129595372163793	0.413203820633779	0.125802544744092	0.646778711484594	4.10105076444109e-05	0.721804511278195	0.000480271510471656	0.592857142857143	0.0222740629474564	0	0	0	0	0	0
NT5DC3||ZBTB12	ZBTB12	NT5DC3	0.469115651549677	0.00447214904186359	0.57513012569893	0.00797909497646607	0.306312884498014	0.266832942155444	0.470761258945612	0.00431567503654982	0.531778901841307	0.015811707788033	0.360714285714286	0.186968371909737	0	0	0	0	0	0
PHLPP1||ZBTB12	ZBTB12	PHLPP1	0.300785596183199	0.0791292265227546	0.41349326168662	0.0699509550087288	0.0450631807053556	0.873300611879044	0.235590728219732	0.173064598623755	0.403007518796992	0.0792140455527267	-0.0357142857142857	0.903077033938601	0	0	0	0	0	0
